,,Field,Type,Null,Key,Default,Extra,ADD/Old Field Names,0,1,2,3,4,5,6,7,8,9,10,11,12
structurefield,account,account_contactpassworddate,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactemail,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_setupprice,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contractstart,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contractend,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_mthlyprice,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_fullysetup,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_packageid,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_packageextras,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_emailpool,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_smspool,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_session,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_registrationkey,tinytext,YES,,,,ADD,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structureend,account,,,,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
,,,,,,,,,,,,,,,,,,,,,
structureheader,serviceenabled,,,,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,serviceenabled,serviceenabled_id,char(25),NO,PRI,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,serviceenabled,serviceenabled_people,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,serviceenabled,serviceenabled_personexdirectory,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,serviceenabled,serviceenabled_personextrafields,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,serviceenabled,serviceenabled_personmembership,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,serviceenabled,serviceenabled_personsafeguarding,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,serviceenabled,serviceenabled_personethnicity,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,serviceenabled,serviceenabled_persondisability,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
